id,kind,cluster,domains
ab-testing-optimizer-agent,sub,funnel,funnel
affiliate-link-manager-agent,sub,ops,ops
agent-registry-manager,primary,orchestration,
agent-relationship-grapher,primary,orchestration,
agent-search-engine,sub,orchestration,
agent-tagger,sub,orchestration,
analytics-and-reporting-agent,primary,ops,funnel|ops|podcast
asset-sourcer-agent,sub,ops,ops
audience-growth-agent,sub,social,social
brand-identity-agent,sub,brand,brand
brand-outreach-agent,sub,brand,brand
brand-prospecting-agent,sub,brand,brand
campaign-execution-agent,primary,brand,brand
campaign-reporting-agent,sub,brand,brand
cognitive-bias-optimizer-agent,sub,funnel,funnel
content-calendar-agent,sub,content,content|seo
content-calendar-orchestrator-agent,primary,content,content|seo|social
content-refresh-agent,sub,content,content
content-repurposing-agent,sub,content,content
content-writer-agent,sub,content,content|seo
contract-manager-agent,sub,brand,brand
cro-process-agent,primary,funnel,funnel
deal-negotiator-agent,sub,brand,brand
facebook-strategy-agent,sub,social,social
financial-manager-agent,primary,ops,ops
instagram-strategy-agent,sub,social,social
inter-agentic-workflow-definer,primary,orchestration,
interoperability-protocol-agent,primary,orchestration,
keyword-research-agent,sub,seo,content|seo
legal-compliance-agent,primary,ops,brand|ops
link-building-agent,sub,seo,seo
orchestrator-agent,primary,orchestration,brand|content|funnel|ops|podcast|seo|social
podcast-analytics-agent,sub,podcast,podcast
podcast-distribution-agent,sub,podcast,podcast
podcast-format-designer-agent,sub,podcast,podcast
podcast-hosting-setup-agent,sub,podcast,podcast
podcast-niche-analyst-agent,sub,podcast,podcast
podcast-promotion-agent,sub,podcast,podcast
productivity-and-burnout-prevention-agent,sub,ops,ops
reputation-management-agent,sub,ops,ops
sales-funnel-architect-agent,sub,funnel,funnel
seo-optimizer-agent,sub,seo,content|seo
task-agent-router,primary,orchestration,brand|content|funnel|ops|podcast|seo|social
tax-compliance-agent,sub,ops,ops
technical-seo-auditor-agent,sub,seo,seo
tiktok-strategy-agent,sub,social,social
value-ladder-architect-agent,primary,funnel,funnel
visual-asset-creator-agent,sub,ops,ops
x-strategy-agent,sub,social,social
